,AAA,ACAd,ACAv,ACB,AD,AHN,AId,AIp,AIv,AMB,AMd,AMv,AN,AOB,AON,APN,ARH,AUDd,AUDp,AUDv,AV,BLA,BMA,BST,CA1,CA2,CA3,CEA,CENT,CL,CLA,CLI,CM,COAa,COAp,CP,CS,CUL,CUN,DCO,DG,DMH,DN,DP,DR,ECT,ENTl,ENTm,EPd,EPv,FL,FN,FRP,FS,GPe,GPi,GRN,GU,IA,ICc,ICd,ICe,ILA,IMD,IO,IP,IPN,IRN,LA,LAV,LD,LGd,LGv,LH,LHA,LP,LPO,LRN,LSc,LSr,LSv,MA,MARN,MD,MDRNd,MDRNv,MEA,MEPO,MGd,MGm,MGv,MH,MM,MOB,MOp,MOs,MPN,MPO,MPT,MRN,MS,MV,NDB,NI,NLL,NLOT,NOD,NOT,NPC,NTS,ORBl,ORBm,ORBvl,OT,PA,PAA,PAG,PAR,PARN,PB,PCG,PERI,PF,PFL,PG,PGRNd,PGRNl,PH,PIR,PL,PMd,PO,POL,POST,PP,PPN,PRE,PRM,PRNc,PRNr,PRP,PSV,PT,PTLp,PVH,PVT,PVp,PVpo,PYR,RCH,RE,RH,RM,RN,RR,RSPagl,RSPd,RSPv,RT,SBPV,SCm,SCs,SF,SI,SIM,SMT,SNc,SNr,SOC,SPA,SPFm,SPFp,SPIV,SPVC,SPVI,SPVO,SSp-bfd,SSp-ll,SSp-m,SSp-n,SSp-tr,SSp-ul,SSs,STN,SUBd,SUBv,SUM,SUT,SUV,TEa,TR,TRN,TRS,TT,TU,V,VAL,VCO,VII,VISC,VISal,VISam,VISl,VISp,VISpl,VISpm,VM,VMH,VPL,VPM,VPMpc,VTA,XII
DMH,0.00870214,0.076793605,0.037823119,0.10254471,0,0,0.122541309,0.10815931,0.072527899,0,0,0,0.003758448,0.002807212,0.008866015,0.008184954,0,0.01421096,0.015005465,0.038895378,0,0.090358382,0.044715025,0.328544126,0,0,0,0.030016675,0.006061871,0,0.04621437,0.011211179,0.008187712,0.018348993,0.074520386,0.310434004,0.039953747,0.004347994,0.045462208,0.000263539,0,0,0,0.014351113,0.0089202,0.161154289,0,0,0.056999321,0.018609585,0.000434676,0.000129946,0.021178806,0.003571443,0.043993445,0.007375991,0.004720853,0.104027969,0.006071219,0.003843641,0.007114441,0.044504342,0.055805425,0.001185921,0.0044317,0.00018131,0.009340338,0,0.059807637,0.000627697,0,0,0,0,0,0,0,0.007842466,0.026967092,0.04561265,0,0,0.014951715,0,0,0,0.006109687,0.03182056,0.00333091,0.009531909,0.012977267,0.000387566,0.021465698,0.025880757,0.114518194,0.048429377,0.03279938,0.169136735,0.0376257,0.509147173,0,0.00727025,0,0.004527911,0.013594487,0.010670499,0.000919726,0,0.013186411,0.022434932,0,0.032522774,0,0.019750849,0,0.032361531,1.742469703,0,0,0.10590358,0.089841881,0.041869072,0.007445751,0.000484929,0.001957149,0.000506573,0.010769271,0,0.212129158,0.109476182,0,0.015635812,0.009231742,0,0.01220443,0.042417619,0,0.001055262,0.127604781,0.104717178,0.000974436,0.003373036,0.020947114,0,0.089622437,0.090234156,0,0.024133943,1.52534E-05,0.029321576,0.091467302,0.001776163,0.000372552,0.020443005,0.024455848,0,0,0,0.018470533,0.022473233,0.41397131,0.011071098,0.008603179,0,0.00019122,0,0,0.010442712,0.008318425,0.014542777,0.025634855,0.044243,0.000419695,0.002274814,0.001242911,0.000216574,0.017006333,0.027368105,0,0,0.01781493,0.023587938,0.040635394,0.032629613,0,0,0,0.005498923,0.003914984,0.112533832,0.026640204,0.006014292,0.002410177,0.011137252,0,0,0.017485391,0.000776663,0,0.047529587,0,0,0.001890663,0,0.001443759,0.001164884,0.074847557,0,0.020456894,0.007435979,0.003849402,0.132471812,0.004525175
DN,0.005217387,0.002160711,0.000578703,2.29204E-05,0.000342484,0,0,0.003707606,0.002726445,0.003913992,0.019327271,0.002020885,1.268516779,0,0.006575857,0.011624527,0.000848907,0.001455808,0.000224024,0.005051405,0.00511735,0,0,0,0.001244368,0,0.000977643,0,0,0.005296935,0.000106153,0.034426721,0.066756852,0.001267187,0.003515086,0.000547068,0,0,0.031808877,0,0.024184266,2.82451E-06,0.00355482,2.37557E-05,0.006004727,0.007593708,0.001216363,0.000830363,0,0,0.074619883,0.031951789,0.000841515,0,0,1.88169E-05,0.032787733,0.000852322,0,0.0006794,0.006436727,0.003964321,4.26918E-05,0.003031416,0.015655298,0.185398622,0.003518162,0.282302942,0,0,0.001603742,0.000132381,0.000764522,0.001115249,0,0.003074596,0.008774497,0.04053328,0,0.001255123,2.26996E-07,0.002286953,0,0.016146652,0,0.110422422,0.001746911,0.000133336,0.000850878,0,0.001635853,0.000634724,0,0.012096425,0.004664348,0.004496543,0,0.000219809,0.000835565,0.990827946,0,0,0.026760485,0,0.000382924,0.000908379,0.036740587,0.001022054,0.00587699,0,0,0.000108485,8.31879E-05,0.021249949,5.39393E-05,9.88937E-05,0.332786704,0.00063604,0.170999353,0.303424366,0.024562456,0.009014788,0.004114576,2.78310293,0,0,0.052923882,0.01125885,0.011926426,0.000558969,0,0.007725812,9.58732E-05,0.003983991,0.000600782,0.15556028,0.006615852,0.064795335,0.046246238,0.089161348,0,0,3.90486E-05,0.000253027,0,1.14145E-05,0.000243656,0,0,0.000701728,0.013340225,0.055896789,1.93572E-05,0.000118125,0.037530317,0,0.002000834,0.004806861,0,0,0.094815723,0.013424959,9.65687E-05,0,0,0.005764763,0.001392181,0.008767028,0,0,0.000649063,0,0,0,0.021305387,0,0.009670339,0.001778831,0.002106419,0.002962057,0.000917564,0.004355404,0.014368061,0,0.005923284,0.002198823,0,0.065793307,0.06083454,0.005265701,0.000239573,0.000230934,0,0.001341891,0.001868681,0.088024831,0.068633321,0,0.000139356,0.000606826,0,0,0,0.00014998,0,0.003147111,0.01694575,1.03996E-05,0.000980086,0.002523255,0,0.017798987,0.000199728
DP,0,0,0,1.644054335,0,0.00415518,0.214746613,0.143740668,0.225182304,0,0,0,0.001098457,0.008549141,0,0.013529577,0,0,0,0,0,0.275008962,0.16062177,0.070124759,0,0,0,0.139572505,2.0665E-05,0,0,0,0,0,0,0.342380201,0,0.00084261,0,0.000126896,0,0,3.37554E-06,0,0,0.017042823,0.225167622,0,0,0,0.000237555,0,0.097678745,0.001903668,0,0.001410433,0,0.01942197,0.012536874,0,0,0,0.282622484,0,0,4.36256E-06,0,0,0.001472362,0,0.01488876,3.68771E-05,0.001057292,0,0.076878924,0,0.00106673,2.20393E-05,0.054523556,0.276825892,0,0,0,0,0,0,0.135365333,0,0,0.000196736,0.00017489,0,0,0,0.096301729,0,0,0,0.000779638,0,0,0,0,0,0,0,0.000213992,0.00131568,0.001004839,0,0,0.368651838,0,0,0,0,0,0,0,0,0,0.107239642,0,0.000535391,0.014379052,0,0,0.006875051,0,0.474824829,0.003292935,0,0.000626489,0.001829389,0,0,0,0.000490533,0,0,0,0.001048385,0,0,0,0,0,0,1.09463E-06,0,0,0,0,0,0,0.003679382,0.016298571,0.019682857,0,0,0.032463079,0.007087107,0.000338614,0.3623558,0.000179372,0.001247716,0,0,0.000111783,0.000854471,0,0,0.00027767,0,0,0,0,0,0.000617245,0.00114021,0,0,0.007720422,0.000503856,0,0,0.029370435,0,0.000100891,0,0,0,0,0,0,0,0.003333339,0.000213897,0,0.001845215,0,0,0,0,0,0,0.011791751,0,0.000126252,0,0.002311441,0,0
DR,0.011229226,0.000827378,0.002469473,0,0.000826892,0.058315436,0.004904088,0.00213862,0.003580394,0,0,7.06163E-05,0,3.78891E-05,0.012419105,0,0.001692865,0,8.31395E-05,7.36737E-05,0,0.038118279,0.01818368,0.266870957,0,0,0,0.333960106,0.005050532,0,0.014635072,0.016770081,0.029442027,0.005737631,0.004047105,0.046775265,0,0.000544404,0,0,0.012840838,0.049577774,0,0.002342683,0,0.001823207,0.002511555,0,0.030158101,0.005059569,0,1.05272E-05,1.63628E-05,0.029169808,0,0,0,0.010061058,0.009393675,0.002504475,0,0,0.009517619,0.019668488,0,0,0,0,0.001105345,0,0,0,0,0,0,0,0.009339859,0,0.044308747,0.140008966,0.006574637,0,0,0,0,0,0.040047416,0.004016738,0,0,0,0.001729515,0.029699798,0,0,0.000329811,0.010238732,0.073022139,0,0,0.035775137,0,0,0,0,0.005352218,0,0,0,0,0.000835547,0.000835209,0.004432579,0,0.000763058,0.000833245,0,6.67472E-05,0,0,0,0.001444871,0.003851458,0,0,0,0,0,0.018712679,0.004490838,0.016442518,0,0,0.001600439,0,0,0.000763173,0,0,0,0,0,0.001061046,0,0,0.011540001,0.00501297,0.001097789,0,0.022025935,0,0,0,0,0,0,0.000323202,0.002056291,0,0.018952005,0,0,0.004623795,0.245566041,0,0.018566043,0.071124754,0.018346929,0,0.007232212,0,0,0,0.000124557,0,0,0.005388361,0,0.002116597,0.003260138,0,0,0.006065412,0.016292295,0.001786869,0,0.003765979,0,0.000447112,0.000484064,0,0,0.002715657,0.010382674,0.044427135,0,0,0,0,0.00356496,0,0,0,0,0,0.000674959,0.019479194,0.036668437,0,0,0.002616461,0.143809994,0
ECT,0,0,0.00253251,0,0.002479027,0.003969265,0,0,0,0,0.004301682,0.003501055,0.001870833,0,0,0,0,0.15724159,0.234236161,0.143203788,0,0.033976671,0,0.0120301,0,0,0,0.04160377,0.005898356,0.029747815,0.049376041,0,0,0,0,0,0,0.00625713,0.018507889,8.12257E-05,0,0.002875895,2.49349E-06,0,0.000208085,0,0,0,0,0,0.00019155,7.49176E-06,0,0,0.002436935,0,0,0,0,0.010250871,0.0294944,0.077886872,0.004349639,0,0,4.52609E-06,0,0,0.158352405,2.77422E-05,0.0520762,0,0,0.010677485,0.030195254,0.256011468,0,0,0.001725529,0,0,0,0,0,0,0,0,6.79627E-05,0.048337025,0.01829022,0.002902706,0,0,0,0,0,0,0,0.003031752,0.068575589,0,0,0,0,0.012766713,0,0.00015535,0.000650314,0.000845756,0,0,0.013181307,0.011231204,0,0,0,0.118071475,0,0,0.002438852,0,0,0,0.000852675,0,0,0,0.006266091,0,0.016573272,0,0.021807771,0.015777154,0,0.010720726,0.007766942,0,0.000582619,0,0.000834362,0,0,0,0.229774684,0.000719417,0,0,0,3.4202E-06,0.002652855,0.013726391,0.003481748,0,0,0.006311961,0.054693506,0.071937502,0,0,8.40091E-05,0.053225148,0,0.001780253,0,0.000965804,0.00334999,0,0,0.000354823,0,0.000532788,0.018797127,0,0,0,0,0,0,0,0,0.016526319,0,0,2.76625E-05,0,0,2.55962E-06,0,0,0.315822485,0,0,0.000334,0,0.004927794,0,0,7.1781E-05,0,0,0.106941797,0,0,0.271418193,0,0,0,0.000504641,0,0,0,0.002139937,0
ENTl,0.055387085,0.064526453,0.0545007,0.492017268,0,0,0.032323406,0.079992797,0.081995784,0,0.000869026,0.001287772,0.001938904,0.001629197,0.247233964,0.000463498,0,0.063134392,0.076341284,0.079227693,0,0.367611402,0.125405541,0.044259608,0.861025173,0.038393218,0.136253648,0.126557291,0,0,0.065205322,0,0,0.029059606,0.198404936,0.552678809,0,0.000333716,0,2.71139E-05,0.581787545,0,2.5008E-06,0.037597972,0,0.338314305,1.696756538,0.331715986,0.28444101,0.083096055,0.000174315,4.57147E-06,0.001863297,0.037592718,0,0.000277702,0,0.004825591,0.032013134,0,0,0,0.094537867,0,0,3.93169E-06,0.000104122,0,0.111198228,5.84088E-06,0,0,0.000857542,0,0,0,0.013568123,3.91123E-05,0.002599624,0.04255414,0.0001992,0.017205232,0,0.002801382,0,0,0.043754788,0.000149403,0,0,0.007623886,0,0.001528589,0.055467612,0.032788176,0.13313113,0,0,0,0,0.018079075,2.39477E-05,0.045549023,0,0,0.028724089,8.70718E-05,5.86872E-05,0,0,0.023434693,0.030525626,0.044065302,0.383286949,0.020826814,0.057009711,0,0.061247689,0,0,0,0.253804776,0,0.001444491,0,7.33389E-07,1.06973E-05,0,1.107646477,0.046072578,0,0,0,0.014953651,0,0,0.072031113,0.000412371,0,0,0,0,0.001096954,0.102140828,0,0.000158463,0,2.96609E-05,3.78675E-06,0,0.001668923,0,0,0,0,0.020923186,0.0451074,0.034929851,0.000531867,0,0,0,0.007676598,0.169013421,0.000556074,0,0,0.000441093,0,0,0,0,1.28413E-05,0.000148969,0,0,0.086659422,0.026761517,0,0,0.057244972,0.021101239,0.020950905,0,0.152424582,0.649691903,0.000579298,0,0,0.211546301,0.180050472,0,0.005513743,0.257072594,0,0,0,7.32408E-05,0,0.008965381,0.078876988,0.064534737,0.03494525,0.144523576,0.019509692,0.01967168,0,0,0,0,0,0,0
ENTm,0,0,0,0,0.015204712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016314659,0,0,0,0.737296891,0.017928626,0.313397475,0,0,0.001614235,0.010877515,4.00148E-06,9.05612E-05,0,0,0,8.3886E-06,0,0,0,0.592258068,0,0,0,0,0.114895463,0,0.139693669,0,0,0.000331649,0,0,0,0.003993399,0,0,0.002271007,0,0,0,0,0,0,4.01243E-05,0,0.000737843,0,0,0,0.100028965,0.004249343,0.000781119,0,0,0.019191436,0,0,0,0,0,0,0,0,0,0,0,0,0.000309739,0,0.004364546,0.000201171,0.001193553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182709219,0,0,0,0,0,0.000173488,0,8.74323E-08,0,0,0,0,0,0.000410189,0,0.010430107,0.000598932,0,0.089525889,0,6.21729E-07,0,0,0,0.001887187,0,0,0.001517185,0,0,0,0,0,0,0,0,0,0.036430051,0.076996268,0.00479536,0.01361379,0,0,0,0.016971255,0,0,0.000128705,0,0,0,0,0,0,0,0,1.36155E-06,0,0,0,0,0,0,0,0,0,0,0.228320307,0,0,0,0.132746333,0,9.55365E-06,0.018276496,0,0,0,0,0,0,0,0,0.01290394,0.036537464,0.08091645,0.026566084,0.047653773,0,0,0.000966145,0.000196288,0,0,0
EPd,0,0,0,0,0.002471628,0.01488337,0,0,0,0,0.00216025,0.000319877,0,0,0,0,0,0,0,0,0.000981771,0,0.155192602,0,0.024392928,0,0,0,0.000112173,0.000253398,0,0.000342976,0,0,0.481146777,0,0,0,0,9.45895E-07,0.006063023,0.014134049,0,0,0.000277135,0,1.502832643,0.236270962,0.27654613,0,0,0,0,0,0,0,0,0,0.017161666,0,0,0,0,0.005357615,0,0,0.000979522,0,0,0,0,0,0,0.003960909,0.056515511,0,0,0.000214313,0,0,0,0,0,0.07958596,0.000121187,0,0.023443856,0.002199809,0,0,0,0.000719072,0.001334945,0,0,0,0,0.005563855,0,0.034662004,0.006306743,0.000272036,0,0,0,0,0,0,0,0.002274015,0,0,0,0,0.050837065,0,0.024304045,0,0,0.00673363,0.000504019,0,0,0,0,0,0.000634374,0.007657223,0,0,0.000948564,0.005728257,0,0.001271392,0,0.000121209,0.017061027,0,0.000822728,0.002144648,0,0,0.00918079,0,0.004732851,0.01466275,0.000950436,0,5.48369E-05,0.005463208,0.003386689,0,0,0.001729061,0,0.00176584,0.005118329,0.010942622,0.014147491,0.001620574,0,0,0,0,0,0,0.010387371,0,0,0,0,0,0.000467097,0.000233184,0,0,0,0.002875299,0,0,0,0.067939122,0,0.006219339,0,0.190184368,0.000239263,0.00010641,5.75019E-05,0,0.145250822,0,0,0,0.009298556,0,0,0,0,0,0,0,0,0.005171681,0,0.004897954,0,0,0,0,0,0.010938584,0
EPv,0,0,0,0,0,0,0,0,0,0,0.006972972,0.006840284,0.001235158,0,0,0,0,0,0,0,0,0,1.869374454,0,0.127902496,0,0,0,0,0,0,0,0.025963595,1.020305991,3.929678977,0,0.001039361,5.23744E-05,0,0,0.386608782,0,0,0,0,0,8.023217286,0.807244589,0,0,0.00028802,0,0,0,0,0.017488413,0,0,0.159625143,0,0,0,0,0.007528409,0,0,0,0,0,0,0,0.00046842,0.000979894,0.009182782,0.943892353,0,0,0,0,0,0,0,0,0.245571214,0,0,0.550917462,0,0,0,0,0,0,0,0,0,0,0,0.001630247,0,0.020652811,0,0.081548678,0.000316779,0,0,0.00032779,0,0,0,0,0,0,0,0.117548019,0.960422207,0,0,0,0,0,0.053680093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.66314E-05,0,0,0,0,0.015880133,0,0,0.017274587,0,0,0.000379204,0,0.027800601,0.009922728,0,0,0,0,0,0,0,0,0.03908586,0.002178123,0,0,0,0.007983236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.439407318,0.002628857,0,0,0,2.392536195,0,0,0,0,0,0,0.000368313,0,0.270398822,0,0,0,0,0,0,0.017179829,0,0,0,0,0.01835788,0
FL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000467357,0,0,0,0.000163771,0,0,0,0,0.000404855,0,0,0,0,0,0.000358476,0,0,0,0,0,0.180780905,0,0,0.00106914,3.26773E-05,0,0,0,0,4.38974E-05,3.29639E-05,0.572592616,0,0,0,1.64339E-05,0,0,0,7.34324E-06,0,0.001246307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9788E-06,0,0,0,0,0,0,0,0,0,0,2.61807E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.45044E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018451321,0,0,0,0,0,0,0.000244567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00019998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.87793E-05,0,0,0,0,0,0,0,0,0,0,0,0,0.006890638,0.00077728,0,0,0,0,0.000243132,0.000386053,0,0
FN,0.001758494,0,0,0,0.000906797,0,0.000325757,0.001622123,8.18293E-05,0.000342364,0.004452158,0.000882042,0.115856252,0.000490328,0.000333315,0,6.20412E-05,0.000346233,0.000724546,0.000188527,0.00028162,0.000970517,0.002642907,0.008640794,0.001430244,0,9.39172E-05,0.020586372,0.448351013,0,0,0.001657712,0.036350708,0.001608665,0.000755956,0.000499005,0,0.385240347,0.011833935,0,0.001510164,0,0.002815881,0,0.00172405,0.001395065,0.004820904,0.000785253,0.000446156,0.000194927,0,0,0,1.97795E-05,0.00087076,0.000294003,0.569262555,0.003401127,0.000328378,0.000127404,0.000314354,0.003329088,0,0.004064376,0,0.012141298,0.001164293,0.119485193,0,0.428424315,0,0,0,0,0.043528373,0,0.00414395,0.028841297,0,0,0,0.000772787,0.061856479,0.01902359,0.003880875,0.055815235,0.002208258,0,7.39563E-05,0.00047708,0.000494862,0.000210608,0.002015672,0.017511883,0.000420772,0,0,0,0,0.135392277,0,0.226383032,0.00252635,0.000589281,0.001572052,6.40212E-05,0.003707158,0,0.0004994,0.04873997,0,0,0,0.003529067,5.85101E-05,0.000234103,0.04932574,0.000352976,0.13212652,0.044864847,0.030278096,0.000947693,0.00817082,0.002967444,0.0095419,0.096541974,0.014717163,0,0.005870493,0,1.75592E-05,0,0.000126705,0.000412842,0.000918131,0.003906498,0.000172803,0.053667211,0.1301288,0,0.062288681,0.00404774,0,0.000142931,0,0.004844424,0,0,0.053271457,0,0,0.008485245,0,0.001753339,0.009920358,0.000166999,3.2271E-05,0.000787273,0,0,0.025697961,0.000941289,0,0.007680518,0.017903204,0.005008834,0.008450338,0.005781331,0.000176498,0.003262847,0.001320782,0.005146273,0.177910015,0.000184038,1.11818E-05,0.003074093,0.000176896,0,0.000161508,0.000210821,0,0,0.001046314,0.001919336,0.001416058,4.01842E-05,0.000873843,0.011600779,0.14407828,0.00028996,0.001659371,0,0,0.000365621,0.002789874,0.01475979,0.061992619,0,0.001438032,0.000434094,0.000288978,9.1822E-05,4.23091E-05,0.002210931,0.000216114,0.000649949,0.029326551,0,0,0.000475254,0.00895965,0.009002768,0.009622274
FRP,0,0.14953126,0.079629158,0.693733853,8.10849E-05,8.92782E-06,4.068047785,0.214367629,0.409267459,0,0,0,0.005222789,0,0,0,0.000974796,0,0,0,0,0.296708464,0.005356952,0.024456644,0.00017674,0.000686558,0.008616233,0.15955406,0.001176002,0,0.337082643,0,0.0077009,0,0,20.42150696,0,0.00113426,0,3.08163E-05,0.008678494,0.000108282,0,0,0,0.093604477,0.05639727,0,0,0.02378424,0.000716941,0,0.359650348,0.110743975,1.383545529,0.062059021,0,1.028996476,0.03380335,0,0,0,0,0.014236445,0,0,0,0,0.045576044,0,0,0.000311799,0,0.00174719,0,0,0.002991359,0,0,0.006423849,0.000476193,0,0,0,0,0,0,5.02633E-05,0,0,0,0.000603674,0.000774062,0,6.852934276,8.521451809,0,2.60361E-05,0.000621146,0,0,0,0,0,0,0,4.91321E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175682691,0.043519524,0.002529332,0,0,0,0,0,0.448904139,0,0,0,0,0,0,0.002361512,0.002633533,0,0,0,0,0.000155053,0,0,0.021537609,0.001784163,0,3.43031E-06,9.17911E-05,0,0,0,0,0,0,0.011527441,0.004467432,0,0,0.196991397,0,1.39584E-06,0,0.001427634,0,0.024744485,0,0,0.03508123,0.001307606,0.006813841,0,0,0,0,0,0,0.619850608,0.094772951,0,1.198835867,0.779158976,0,0,0.001203574,0,0,0,0.215936331,0,0,0,0,0.003439699,0,0,0,0,0.174650524,0,0,0,0,0,0,0,3.40639E-05,0,0,0.031331218,0,0
FS,0,0,0,0.612830318,0,0,0.15761693,0,0.046083364,0,0,0,0,0,0,0,0,0,0,0,0,0.075789677,0,0,0,0,0,0.30040133,0,0,0.145446821,0,0,0,0,0.837086176,0,0,0,0,0,0,0,0,0,0.137175878,0,0,0.040776626,0,0,0,0,0,0.176137603,0.022845797,0,0.130503926,0.026511529,0,0.000323657,0,0.018434379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143631909,0,0,0,0,0,0,0,0,0,0,0.178071305,0,0,0,0,0.05466957,0.000410437,0.044834795,0,0,0,0,0,0,0,0,0.034375828,0,0,0,0,0,0,0,0.003648291,0,0,0,0,0,0,0,3.14044E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100445616,0,0,0,0,0,0,0.000913891,0,0.428241489,0,0,0.250282953,0.215022906,0,0,0,0,0,0,0,0,0,0,0.024378056,0.009802062,0,0.00617704,0.017927133,0.035924977,0,0,0,0,0,0,0,0,0,0,0.000185463,0,0,0,0,0,0,0,0,0.001451226,0.000393028,0,0.003280453,0,0,0,0.000474905,0,0
GPe,0,0,0,0,0,0,0,0,0,0,0.013114564,0.001993701,0,0,0,0,0,0,0.004909857,0.05607973,0.000202418,0.012406027,0,0,0,0,0,0,0.001669234,0,0,0,0.035245942,0,0,0,0,0.002621293,0.005460716,0.000496382,0,0,0,0,0,0,0,0,0,0,0.000665474,0,0,0,0,0.098467283,0,0,0,0,0.000815854,0.01548842,0,0.001971413,0,0,0.001878515,0,0.070372238,0,0,0,0.004965512,0,0.047526271,0,0,0,0,0,0,0,0,0.074359177,0,0,0,0,0.00302157,0.005930241,0.010890997,0,0,0,0,0,0,0,0,0.117053529,0,0,0,0,0.000726177,0,0.000143332,0.000573325,0.012109799,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08437665,0,0,0,0,0,0,0,0,0.014136201,0.002809657,0,0.048554752,0,0,0.000857043,0,0,0,0,0,0,0,0,0,0,8.74532E-05,0,0,0.005592474,0,0,0.142710289,0,0,0,0.179367626,0,0,0.001702378,0,0.049704919,0.001341467,0,0.208024352,0.189089845,0,0.000286524,0.00039129,0.03167244,0.000163417,0,0,0,0.108171583,0,0,0,0,0,0.04764091,0.102357464,0,0,0,0,0,0.056608354,0,0,0,0,0,0,0.100977314,0.000180289,0,0,0,0,0,0,0,0,0.017597417,0,0,0.045725703,0.010985197,0.010590241,0
GPi,0,0,0,0,0.033320532,0,0,0.253419932,0,0.03530275,0.043151111,0.009144183,0.050012233,0,0,0.058886255,0,0,0,0,0.04744807,0,0.560337701,0,0.291075117,0,0.014269139,0,0.008433766,0.07958764,0.098673275,0.013594619,0.297620699,0.036993981,0,2.572064636,0,0.010305645,0.106720983,0.00047905,0.00595271,0.271174222,0.00034925,0,0.031634924,0.039043799,1.991074972,0.272067684,0,0,0.003242111,0,0,0.077447675,1.282034693,0.027889881,0.504901642,0.180904241,0,0,0.001809141,0.044194802,0,0.106186074,0.014211712,5.0518E-05,0,1.082286093,0,0.012689975,0.078128686,0.000951476,0,0.503082763,1.193354663,0,0.357117111,0.016198002,0,0,0,0.198647066,0.189209569,0.738462317,0.055606234,0.149988368,0.005763041,0,3.24248E-05,0.015049808,0.002030318,0.030146063,0,0,0,0,0,0,0.009652697,5.182154701,0,0.048013607,0.424759069,0.005373873,0.021839174,0,0.00210853,0.004365723,0.162673115,0.200902069,0,0,0,0,0,0.079305993,2.801380594,0,0.97966598,0.563939703,0.105931522,0.16332497,1.035231097,0.076650008,0.056343657,0.017983436,0.150571464,0.19130154,0,0,0.016038422,0.359342948,0.056217204,0,0,0.187858133,0,0.010543629,1.145368886,0.420844747,0.008724388,0.042398427,0.02042884,0,0.080393985,0.135895096,0,0,0,0.076837123,0.160212089,0.062977572,0.008291214,0.162384354,0.230003949,0,0,0,0.911288434,0,2.174541791,0,0,0.630351365,0.00712222,0.078249763,0.72890276,1.44518591,0.019200785,0.094583168,0.050871695,0.294436029,0.015018816,0.008831921,0.028624094,0.047479073,0,0,0.092849642,0.025518999,0,0,0,0.601437601,0,0.017409078,0.022872526,0.178904254,0.021424108,0,0.225705428,0.09492503,0,0,0.101211922,0.221732222,1.204361677,0.000879191,0.170632182,0.14359189,0,0,0,0,0,0,0.49130659,0,0.127450271,0.644428402,0.270935353,0.571010393,0.014319286
GRN,0.000250163,0,0,0,0,0,2.50164E-05,7.15925E-05,0,0.006288266,0,0,0.029483246,2.75185E-05,0,0.00589108,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000218256,0,0,0,7.22658E-06,4.90006E-06,0,0,0,0,0,0,0,0,0,0,0.000139373,0,0,0,0,0.005112429,0.000730298,0.0001002,0,0,0,0.089505418,0.000174318,0,0,0,0,0,0,0,0,0,0.361563206,0,0.006863265,0,0,0,0,0,0.000705611,0,0.001658667,0,0,0,0.000602256,0.005412799,0,0,0.120456756,0,0,0,0,0,0,0,0.000734591,0.000536676,0.000351133,0,0,0,0.05410272,0,0.022730112,0,0,0,3.86276E-05,0.000522727,0.000977979,0,0,0,0,0,0,1.00173E-05,0,0,0,0.132302986,0.018217933,0.001743284,0,0.009477601,0,0,0.008489029,0.018595802,0,0.000441751,0,0,0.000736246,0.000298327,0.000232176,0,0,0,0,0.105813958,0.023983465,0.00231177,0.00310224,0,0,0,0,0,0,0,0,0,0,0,0.002880983,0,0,0,0,0,0,0.039345817,0,0,0,0.012264626,3.98378E-05,0,0,0,0,0,0.000211443,0.009368366,0,0.018499958,0.016788358,9.19622E-05,1.59304E-05,7.47254E-06,0,0,0.000180171,0,0,0,0,0,0.02103801,0.005231564,0.000358196,0.000239682,0.005945946,0,0,0,0.070240306,0.001121949,0,0.133435468,0,0.000129338,0,8.39276E-05,0.000475775,4.1006E-05,0.000169826,0.001800929,0,0,0,0.000301548,0,0.017257671
